address_key,address_natural_key,line1,line2,city,province_id,province_name,postal_code,country_code
1,1,Sucursal Buenos Aires - Av. Principal 101,,Buenos Aires,1,Buenos Aires,1001,AR
2,2,Sucursal Córdoba - Av. Principal 102,,Córdoba,2,Córdoba,1002,AR
3,3,Sucursal Santa Fe - Av. Principal 103,,Santa Fe,3,Santa Fe,1003,AR
4,4,Sucursal Mendoza - Av. Principal 104,,Mendoza,4,Mendoza,1004,AR
5,1001,Calle 5545,Piso 4 Dto B,Córdoba,2,Córdoba,4934,AR
6,1002,Calle 2808,Piso 9 Dto C,Rafaela,3,Santa Fe,2071,AR
7,1003,Calle 3108,Piso 4 Dto C,CABA,1,Buenos Aires,7131,AR
8,1004,Calle 4007,,Río Cuarto,2,Córdoba,9773,AR
9,1005,Calle 4050,Piso 1 Dto C,Santa Fe,3,Santa Fe,3071,AR
10,1006,Calle 3429,Piso 12 Dto A,Godoy Cruz,4,Mendoza,2062,AR
11,1007,Calle 8343,Piso 6 Dto B,Mar del Plata,1,Buenos Aires,3932,AR
12,1008,Calle 7919,Piso 12 Dto B,Río Cuarto,2,Córdoba,5396,AR
13,1009,Calle 600,,Río Cuarto,2,Córdoba,8406,AR
14,1010,Calle 6964,,La Plata,1,Buenos Aires,7129,AR
15,1011,Calle 1377,Piso 5 Dto B,Córdoba,2,Córdoba,4771,AR
16,1012,Calle 5512,Piso 7 Dto B,Mar del Plata,1,Buenos Aires,8086,AR
17,1013,Calle 5195,,La Plata,1,Buenos Aires,3942,AR
18,1014,Calle 1244,Piso 6 Dto A,Mar del Plata,1,Buenos Aires,9220,AR
19,1015,Calle 4529,,CABA,1,Buenos Aires,2168,AR
20,1016,Calle 5469,Piso 4 Dto C,CABA,1,Buenos Aires,5096,AR
21,1017,Calle 4497,,Río Cuarto,2,Córdoba,9898,AR
22,1018,Calle 4618,Piso 6 Dto B,La Plata,1,Buenos Aires,1194,AR
23,1019,Calle 6513,,Córdoba,2,Córdoba,8773,AR
24,1020,Calle 7680,Piso 12 Dto B,Mar del Plata,1,Buenos Aires,2406,AR
25,1021,Calle 6844,Piso 4 Dto B,Santa Fe,3,Santa Fe,1493,AR
26,1022,Calle 5007,Piso 12 Dto A,CABA,1,Buenos Aires,6810,AR
