payment_key,customer_key,channel_key,store_key,amount,method,status,paid_at,transaction_ref
1,356,1,,63636.0,CARD,PAID,2024-11-27 00:50:47,TX-1HW3GM7Q6LFJ
2,601,1,,78146.4,GATEWAY,PENDING,,
3,1234,1,,32064.6,CARD,PAID,2025-02-28 07:39:44,TX-8PBOWVHD7B4I
4,156,1,,30855.0,CARD,PAID,2025-03-02 15:35:36,TX-SQ97NPWQ6YK8
5,616,2,4,53451.75,CARD,PAID,2024-04-01 01:46:36,TX-F7761XS1CXDC
6,614,2,2,29040.0,CASH,PAID,2024-03-13 14:54:35,TX-RNWJHS1F8G0Y
7,188,1,,18442.5,CARD,REFUNDED,2025-07-17 12:55:56,TX-X2AJGZ36N3FR
8,17,1,,17535.0,CARD,PAID,2024-11-14 13:15:00,TX-ZRHVYPGQTDRK
9,1148,1,,109011.0,CARD,PAID,2024-08-25 23:29:28,TX-CHL80ZD8IP5O
10,1037,1,,16718.25,GATEWAY,PAID,2024-03-31 18:34:46,TX-J2VP8C6ROCZQ
11,1336,2,1,17787.0,TRANSFER,REFUNDED,2024-03-14 03:19:39,TX-1UN1COQAVK65
12,1239,2,4,41309.4,CASH,PAID,2025-06-17 07:46:29,TX-U5CXUHGK42O6
13,1426,2,3,42688.8,CARD,PAID,2024-08-12 06:38:29,TX-GS664FN80M9E
14,862,2,1,123283.88,CASH,PAID,2025-03-23 14:26:14,TX-BZOPSO6JPRZD
15,181,1,,15129.6,CARD,PAID,2025-08-20 03:46:12,TX-AD0J2NGELHNC
16,700,1,,29659.2,CARD,FAILED,,
17,475,1,,28642.8,GATEWAY,PAID,2025-08-29 20:46:32,TX-Y2BIADVO9F18
18,753,2,2,80912.7,CARD,PAID,2025-02-20 01:36:04,TX-O7MTCOYJ61AJ
19,1151,1,,100107.9,GATEWAY,FAILED,,
20,793,1,,46023.24,CARD,PAID,2025-04-23 12:12:18,TX-EMS8E80975XQ
21,866,1,,59895.0,CARD,PAID,2024-05-06 15:36:24,TX-EZKXQ80I4527
22,1110,1,,29659.2,CARD,PAID,2025-09-25 01:05:51,TX-BE5NW8R3MU50
23,854,2,1,29040.0,TRANSFER,REFUNDED,2024-04-02 19:16:34,TX-I1Q2G15R83Y7
24,379,2,3,82764.0,CASH,PAID,2025-07-08 19:42:57,TX-3TFFR8COO0FP
25,441,2,2,14229.6,CARD,PAID,2025-03-03 09:57:05,TX-91AAY0A1V9Q3
26,125,1,,86005.88,CARD,PAID,2025-08-27 17:57:45,TX-SVYYRKPOYWM4
27,1201,1,,17535.0,CARD,PAID,2024-12-15 07:59:48,TX-9O9IH4O8JG78
28,1055,1,,28488.0,CARD,PAID,2024-12-02 05:44:59,TX-C245O7O7GRI9
29,382,1,,14520.0,CARD,PAID,2024-05-18 09:11:07,TX-J6HQJG5HEW5S
30,1456,1,,79235.4,CARD,PAID,2025-09-14 21:43:49,TX-DRZ2QYPBHF3H
31,1377,2,4,41382.0,CARD,PAID,2025-06-11 19:02:55,TX-13PMNCYBLOP6
32,1375,2,4,28459.2,CASH,PAID,2025-05-13 08:15:07,TX-PFV0D0IML4NF
33,821,1,,33870.0,CARD,PAID,2025-03-16 16:37:22,TX-UM2KN2XHQSHB
34,1475,2,4,17787.0,CASH,PAID,2024-06-08 12:23:04,TX-PO2UBATPZ00H
35,634,2,2,103318.88,CASH,PAID,2024-11-19 15:24:31,TX-922WAHDO61XN
36,585,2,1,26136.0,CARD,PAID,2024-01-13 09:54:27,TX-Y8T15028LSUX
37,180,1,,61158.0,CARD,PAID,2024-09-26 11:59:17,TX-WSO0CISUVYK2
38,482,1,,31082.16,CARD,PAID,2024-01-27 15:07:55,TX-VCRJJP6E0CCG
39,620,2,1,14229.6,CARD,PAID,2024-02-02 23:29:21,TX-DIL01AV2R2A9
40,603,2,1,71583.6,CARD,PAID,2024-05-23 19:42:33,TX-GO2N5MUY0V3U
41,1028,1,,14994.0,CARD,FAILED,,
42,1005,2,3,29657.1,CASH,PAID,2024-01-15 03:59:03,TX-B543BB9H5C7R
43,790,1,,13914.6,GATEWAY,PAID,2024-09-28 02:17:36,TX-X79V37PRDDTB
44,665,1,,48816.0,CARD,PAID,2024-05-22 23:46:11,TX-3MPXSV4DAUND
45,562,1,,90435.0,GATEWAY,PAID,2025-09-05 11:32:15,TX-4JUJUM3AY4L6
46,998,1,,44460.0,GATEWAY,PAID,2024-02-03 22:14:28,TX-6G4YWKOODVMB
47,276,1,,39930.0,CARD,PAID,2024-01-15 01:01:18,TX-OAGVE3OT79YR
48,1469,2,2,13068.0,CASH,PAID,2024-03-08 13:53:37,TX-AL44LOCGN4MF
49,408,2,2,28459.2,CARD,PENDING,,
50,1360,2,2,49005.0,TRANSFER,PAID,2024-08-13 06:35:54,TX-66ID36XC53T2
51,1423,1,,35685.0,GATEWAY,PAID,2024-07-25 13:25:00,TX-7PTIHWUY0CDA
52,741,1,,38252.7,CARD,PAID,2024-09-18 03:10:33,TX-F093FL0ELLCQ
53,969,1,,85377.6,CARD,PAID,2024-11-06 16:12:44,TX-LC4H6TVD1ZOD
54,729,1,,33570.0,CARD,FAILED,,
55,251,2,4,14941.08,CASH,PAID,2024-03-18 14:19:59,TX-BABHWIKVNZZ3
56,1087,2,1,51727.5,CARD,PAID,2025-07-24 16:26:45,TX-RJQ9HE6VB7HF
57,659,1,,87140.25,CARD,PAID,2025-04-15 04:37:15,TX-0RAAOO91OA8N
58,338,2,4,34394.25,CASH,PAID,2025-02-23 13:51:12,TX-UXBOXO5T9DHX
59,1068,1,,53953.5,CARD,FAILED,,
60,958,1,,77682.0,CARD,PAID,2024-07-03 10:26:37,TX-7033ZUJCIUHD
61,428,2,4,35283.6,CARD,FAILED,,
62,1337,1,,15720.0,CARD,PAID,2025-03-03 09:20:56,TX-5BCIDL8LGH8R
63,1442,2,3,54450.0,TRANSFER,PAID,2024-12-24 17:02:28,TX-T7NWUQIQ9VOB
64,939,1,,46323.24,GATEWAY,PAID,2024-06-01 23:17:58,TX-D4XNYWF5QEYL
65,1409,1,,19168.5,GATEWAY,PAID,2025-03-07 07:45:27,TX-N8533KHZH4J5
66,1062,1,,43888.8,GATEWAY,PAID,2024-09-18 07:43:41,TX-JPJLBWJ1IRVA
67,988,1,,43888.8,GATEWAY,FAILED,,
68,778,1,,18687.0,GATEWAY,REFUNDED,2025-04-12 04:23:15,TX-MZNG9JBD25OS
69,77,1,,102166.35,CARD,PAID,2024-12-04 01:53:38,TX-PRTYVEKSVQUQ
70,700,1,,53361.0,CARD,PAID,2024-06-14 13:38:45,TX-4QPQRW6T77VI
71,425,1,,15420.0,CARD,PAID,2025-07-28 03:51:05,TX-4N53JR8S1YKT
72,1271,2,3,14229.6,CARD,PAID,2024-07-24 02:00:06,TX-222J0CRS0SJJ
73,1129,1,,17018.25,GATEWAY,PAID,2024-02-04 08:20:17,TX-P43FW2ENH6BE
74,1224,1,,19576.35,CARD,PAID,2024-12-09 19:18:19,TX-HU7AKHXTZ1YN
75,446,1,,69071.4,CARD,PAID,2024-12-14 15:41:02,TX-TR4GSE74V5DM
76,867,1,,36474.0,CARD,PAID,2025-03-24 08:16:20,TX-SK0540SEJOKI
77,127,1,,29659.2,CARD,PAID,2024-03-02 10:21:11,TX-N5EHQ403IVWA
78,874,2,1,28459.2,CASH,PAID,2024-12-06 03:39:17,TX-MBGQQW2NEF1F
79,814,1,,49186.5,CARD,PAID,2025-01-12 21:43:22,TX-IKM85NPGE98X
80,1189,1,,40404.0,GATEWAY,PAID,2025-09-18 13:56:19,TX-UIU52W85YPS8
81,584,1,,18687.0,CARD,PAID,2024-11-11 07:28:22,TX-X6TWS79CTHK8
82,1433,1,,64788.0,CARD,PAID,2025-02-02 23:45:35,TX-1VPIVXSYTP4J
83,670,1,,42582.0,CARD,PAID,2025-09-21 12:27:35,TX-472J8NP9S8E9
84,464,1,,47301.0,GATEWAY,REFUNDED,2024-02-13 09:47:09,TX-SBJLVY6L1XXX
85,535,1,,19050.0,GATEWAY,PAID,2024-11-27 12:26:24,TX-GJJBKDYPJZ5E
86,655,1,,16441.08,GATEWAY,PAID,2025-03-02 02:58:24,TX-4YYBKHTAB92W
87,833,1,,14268.0,GATEWAY,PAID,2025-08-20 00:52:28,TX-H6SGL5WR6ZEB
88,490,1,,14994.0,CARD,FAILED,,
89,360,1,,69144.0,GATEWAY,PAID,2024-02-03 20:58:21,TX-YO60F0EA8647
90,1227,1,,18442.5,CARD,PAID,2025-06-20 12:09:30,TX-JKULC5L36UG4
91,624,1,,45458.25,CARD,PAID,2024-01-29 03:31:23,TX-IO1AR1ZGZBUT
92,228,1,,110342.92,GATEWAY,PAID,2024-02-19 18:12:47,TX-NDNQBVR081I1
93,770,1,,37200.0,GATEWAY,PAID,2024-06-15 03:46:23,TX-7539MH4QX495
94,54,2,2,102456.75,CASH,PAID,2024-11-15 08:26:31,TX-V4AUXB59ROGA
95,1006,2,4,90387.0,CASH,PAID,2024-12-29 07:05:36,TX-LBRHLVO2Y93F
96,247,1,,59897.1,GATEWAY,PAID,2025-09-26 17:29:43,TX-MBMP050ORNEE
97,1127,2,3,42688.8,CASH,PAID,2025-05-24 05:43:41,TX-14WCNJXENRUU
98,757,2,2,18676.35,CASH,PAID,2024-06-14 20:56:54,TX-TS02NI4GYBVJ
99,520,1,,44351.1,CARD,PAID,2025-01-17 06:09:07,TX-2EHPQP6AIXY3
100,258,1,,14520.0,CARD,PAID,2024-02-28 09:31:08,TX-6QBJB2NZNX9G
101,467,1,,28909.08,CARD,FAILED,,
102,3,1,,44460.0,GATEWAY,PAID,2024-03-31 10:45:40,TX-N8LT25CDZBGQ
103,334,1,,43888.8,CARD,PAID,2024-11-20 15:00:43,TX-UA4DQXIN6727
104,802,2,3,37243.8,CASH,PENDING,,
105,999,1,,37500.0,CARD,REFUNDED,2024-03-24 12:55:17,TX-GYPM2FM72C6Z
106,176,1,,27336.0,CARD,PAID,2024-05-12 15:27:32,TX-HSNZ6UUKGLAE
107,801,1,,19050.0,GATEWAY,PAID,2025-02-10 02:09:53,TX-886LJXE6L2ZU
108,1113,1,,42064.2,CARD,PAID,2024-05-22 14:56:26,TX-W9F9L785FTPB
109,810,2,4,56029.05,CASH,PAID,2025-07-04 10:11:46,TX-QM24BIHB24AY
110,581,2,4,39930.0,CARD,PAID,2024-04-24 16:18:05,TX-18ZITZHX2G7U
111,1284,2,2,82364.7,TRANSFER,FAILED,,
112,1333,1,,19876.35,GATEWAY,PAID,2024-12-21 16:47:41,TX-LLQCAQ4XRN0T
113,24,2,2,92891.7,CASH,PAID,2025-03-02 12:43:31,TX-MH4GBLCKUHYD
114,1222,2,1,15652.56,CARD,FAILED,,
115,63,2,1,11761.2,TRANSFER,PAID,2024-09-19 23:06:28,TX-42Q8BZ53GWTF
116,1078,1,,27636.0,CARD,REFUNDED,2024-02-19 21:47:44,TX-PLUI46HDV8I9
117,1091,1,,49116.0,CARD,PAID,2024-07-04 03:24:47,TX-FCJTQEJPPTTX
118,524,1,,30240.0,CARD,PAID,2025-01-20 07:11:52,TX-AKHIN8QKBR9F
119,1229,1,,47857.68,CARD,PAID,2025-08-18 15:04:32,TX-5HRXEHTTUWX2
120,458,2,4,17787.0,CARD,PAID,2025-07-16 17:54:38,TX-IWD52SW6D9WI
121,68,1,,14229.6,CARD,PAID,2024-04-21 02:41:14,TX-ILPQFBQW1HUK
122,959,2,4,45520.2,TRANSFER,PAID,2024-12-20 23:03:44,TX-921BB2YAJ1WR
