order_key,customer_key,channel_key,store_key,total_amount,order_date
1000000000,356,1,,63636.0,2024-11-26 07:50:47
1000000001,601,1,,78146.4,2024-01-31 01:00:04
1000000002,1234,1,,32064.6,2025-02-26 19:39:44
1000000003,156,1,,30855.0,2025-03-01 17:35:36
1000000004,616,2,4.0,53451.75,2024-03-30 02:46:36
1000000005,614,2,2.0,29040.0,2024-03-12 20:54:35
1000000006,188,1,,18442.5,2025-07-15 22:55:56
1000000007,17,1,,17535.0,2024-11-11 20:15:00
1000000008,1148,1,,109011.0,2024-08-25 03:29:28
1000000009,1037,1,,16718.25,2024-03-30 10:34:46
1000000010,1336,2,1.0,17787.0,2024-03-13 02:19:39
1000000011,1239,2,4.0,41309.4,2025-06-17 03:46:29
1000000012,1426,2,3.0,42688.8,2024-08-09 14:38:29
1000000013,862,2,1.0,123283.88,2025-03-23 11:26:14
1000000014,181,1,,15129.6,2025-08-18 12:46:12
1000000015,700,1,,29659.2,2024-09-15 12:43:40
1000000016,475,1,,28642.8,2025-08-27 22:46:32
1000000017,753,2,2.0,80912.7,2025-02-19 14:36:04
1000000018,1151,1,,100107.9,2024-07-14 15:20:18
1000000019,793,1,,46023.24,2025-04-21 04:12:18
1000000020,866,1,,59895.0,2024-05-06 01:36:24
1000000021,1110,1,,29659.2,2025-09-23 22:05:51
1000000022,854,2,1.0,29040.0,2024-03-31 02:16:34
1000000023,379,2,3.0,82764.0,2025-07-05 19:42:57
1000000024,441,2,2.0,14229.6,2025-03-02 15:57:05
1000000025,125,1,,86005.88,2025-08-26 06:57:45
1000000026,1201,1,,17535.0,2024-12-12 23:59:48
1000000027,1055,1,,28488.0,2024-12-02 01:44:59
1000000028,382,1,,14520.0,2024-05-17 06:11:07
1000000029,1456,1,,79235.4,2025-09-14 02:43:49
1000000030,1377,2,4.0,41382.0,2025-06-09 19:02:55
1000000031,1375,2,4.0,28459.2,2025-05-10 11:15:07
1000000032,821,1,,33870.0,2025-03-15 14:37:22
1000000033,1475,2,4.0,17787.0,2024-06-08 03:23:04
1000000034,634,2,2.0,103318.88,2024-11-17 01:24:31
1000000035,585,2,1.0,26136.0,2024-01-12 05:54:27
1000000036,180,1,,61158.0,2024-09-24 18:59:17
1000000037,482,1,,31082.16,2024-01-26 00:07:55
1000000038,620,2,1.0,14229.6,2024-02-02 22:29:21
1000000039,603,2,1.0,71583.6,2024-05-23 04:42:33
1000000040,1028,1,,14994.0,2024-03-04 06:58:13
1000000041,1005,2,3.0,29657.1,2024-01-14 09:59:03
1000000042,790,1,,13914.6,2024-09-27 21:17:36
1000000043,665,1,,48816.0,2024-05-21 10:46:11
1000000044,562,1,,90435.0,2025-09-02 12:32:15
1000000045,998,1,,44460.0,2024-02-01 13:14:28
1000000046,276,1,,39930.0,2024-01-12 03:01:18
1000000047,1469,2,2.0,13068.0,2024-03-08 08:53:37
1000000048,408,2,2.0,28459.2,2024-09-13 16:10:57
1000000049,1360,2,2.0,49005.0,2024-08-11 19:35:54
1000000050,1423,1,,35685.0,2024-07-25 00:25:00
1000000051,741,1,,38252.7,2024-09-15 06:10:33
1000000052,969,1,,85377.6,2024-11-04 03:12:44
1000000053,729,1,,33570.0,2024-08-10 06:19:56
1000000054,251,2,4.0,14941.08,2024-03-16 02:19:59
1000000055,1087,2,1.0,51727.5,2025-07-23 20:26:45
1000000056,659,1,,87140.25,2025-04-12 15:37:15
1000000057,338,2,4.0,34394.25,2025-02-21 05:51:12
1000000058,1068,1,,53953.5,2024-09-21 03:01:24
1000000059,958,1,,77682.0,2024-07-01 13:26:37
1000000060,428,2,4.0,35283.6,2024-02-25 20:21:42
1000000061,1337,1,,15720.0,2025-03-01 10:20:56
1000000062,1442,2,3.0,54450.0,2024-12-23 12:02:28
1000000063,939,1,,46323.24,2024-05-30 10:17:58
1000000064,1409,1,,19168.5,2025-03-04 14:45:27
1000000065,1062,1,,43888.8,2024-09-17 00:43:41
1000000066,988,1,,43888.8,2024-01-26 06:33:17
1000000067,778,1,,18687.0,2025-04-11 16:23:15
1000000068,77,1,,102166.35,2024-12-01 10:53:38
1000000069,700,1,,53361.0,2024-06-12 09:38:45
1000000070,425,1,,15420.0,2025-07-25 23:51:05
1000000071,1271,2,3.0,14229.6,2024-07-22 18:00:06
1000000072,1129,1,,17018.25,2024-02-02 08:20:17
1000000073,1224,1,,19576.35,2024-12-07 21:18:19
1000000074,446,1,,69071.4,2024-12-14 04:41:02
1000000075,867,1,,36474.0,2025-03-22 18:16:20
1000000076,127,1,,29659.2,2024-03-01 10:21:11
1000000077,874,2,1.0,28459.2,2024-12-04 22:39:17
1000000078,814,1,,49186.5,2025-01-09 21:43:22
1000000079,1189,1,,40404.0,2025-09-16 02:56:19
1000000080,584,1,,18687.0,2024-11-11 06:28:22
1000000081,1433,1,,64788.0,2025-02-02 01:45:35
1000000082,670,1,,42582.0,2025-09-21 10:27:35
1000000083,464,1,,47301.0,2024-02-10 17:47:09
1000000084,535,1,,19050.0,2024-11-25 14:26:24
1000000085,655,1,,16441.08,2025-03-01 02:58:24
1000000086,833,1,,14268.0,2025-08-18 10:52:28
1000000087,490,1,,14994.0,2024-12-13 04:53:42
1000000088,360,1,,69144.0,2024-02-03 13:58:21
1000000089,1227,1,,18442.5,2025-06-18 12:09:30
1000000090,624,1,,45458.25,2024-01-27 19:31:23
1000000091,228,1,,110342.92,2024-02-17 18:12:47
1000000092,770,1,,37200.0,2024-06-13 13:46:23
1000000093,54,2,2.0,102456.75,2024-11-14 23:26:31
1000000094,1006,2,4.0,90387.0,2024-12-27 03:05:36
1000000095,247,1,,59897.1,2025-09-25 18:29:43
1000000096,1127,2,3.0,42688.8,2025-05-23 10:43:41
1000000097,757,2,2.0,18676.35,2024-06-12 17:56:54
1000000098,520,1,,44351.1,2025-01-16 08:09:07
1000000099,258,1,,14520.0,2024-02-27 14:31:08
1000000100,467,1,,28909.08,2024-07-30 11:35:40
1000000101,3,1,,44460.0,2024-03-30 02:45:40
1000000102,334,1,,43888.8,2024-11-19 07:00:43
1000000103,802,2,3.0,37243.8,2024-03-25 03:53:52
1000000104,999,1,,37500.0,2024-03-23 20:55:17
1000000105,176,1,,27336.0,2024-05-12 04:27:32
1000000106,801,1,,19050.0,2025-02-08 08:09:53
1000000107,1113,1,,42064.2,2024-05-22 03:56:26
1000000108,810,2,4.0,56029.05,2025-07-04 04:11:46
