order_item_key,order_key,product_key,quantity,unit_price
1,1,2,2,15000.0
2,1,1,2,12000.0
3,2,1,1,12000.0
4,2,2,2,15000.0
5,2,1,2,12600.0
6,3,1,1,12000.0
7,3,2,1,15000.0
8,4,1,1,12000.0
9,4,2,1,15000.0
10,5,2,2,15750.0
11,5,2,1,15000.0
12,6,1,2,12000.0
13,7,2,1,15000.0
14,8,2,1,15000.0
15,9,1,3,12000.0
16,9,2,3,15000.0
17,9,1,1,12600.0
18,10,2,1,13500.0
19,11,2,1,15000.0
20,12,2,1,15000.0
21,12,1,2,10800.0
22,13,1,3,12000.0
23,14,2,3,15750.0
24,14,1,3,12000.0
25,14,1,2,12000.0
26,15,1,1,12000.0
27,16,1,2,12000.0
28,17,1,2,12600.0
29,18,2,2,15750.0
30,18,1,3,12000.0
31,19,2,1,13500.0
32,19,1,2,13200.0
33,19,2,3,15000.0
34,20,1,3,12600.0
35,21,2,3,16500.0
36,22,1,2,12000.0
37,23,1,2,12000.0
38,24,2,2,15000.0
39,24,1,1,12000.0
40,24,2,2,15000.0
41,25,1,1,12000.0
42,26,2,3,15750.0
43,26,1,2,12600.0
44,27,2,1,15000.0
45,28,1,2,12000.0
46,29,1,1,12000.0
47,30,2,2,16500.0
48,30,1,3,12000.0
49,31,1,3,12000.0
50,32,1,2,12000.0
51,33,2,2,15000.0
52,34,2,1,15000.0
53,35,2,3,15750.0
54,35,2,3,15000.0
55,36,1,2,12000.0
56,37,1,2,12000.0
57,37,2,2,15000.0
58,38,1,2,12600.0
59,39,1,1,12000.0
60,40,1,3,10800.0
61,40,2,2,15000.0
62,41,1,1,12000.0
63,42,2,1,15000.0
64,42,1,1,10800.0
65,43,1,1,10800.0
66,44,1,3,13200.0
67,45,2,2,15000.0
68,45,2,3,15000.0
69,46,1,3,12000.0
70,47,2,2,16500.0
71,48,1,1,12000.0
72,49,1,2,12000.0
73,50,2,3,13500.0
74,51,2,2,15000.0
75,52,2,2,15750.0
76,53,1,3,12000.0
77,53,1,3,12000.0
78,54,2,2,15000.0
79,55,1,1,12600.0
80,56,2,3,15000.0
81,57,1,2,12000.0
82,57,2,3,16500.0
83,58,2,1,15000.0
84,58,2,1,15750.0
85,59,2,1,16500.0
86,59,2,2,15000.0
87,60,1,3,12000.0
88,60,2,2,15000.0
89,61,1,3,10800.0
90,62,1,1,12000.0
91,63,2,3,15000.0
92,64,1,3,12600.0
93,65,2,1,16500.0
94,66,1,3,12000.0
95,67,1,3,12000.0
96,68,2,1,15000.0
